flight,flight_id,approach_id,fixture_dir,era,era_family,recording_regime,failure_reason,Y_eligible,funnel_applicability,funnel_applicability_note,frozen_compound_signature_positive,full_dies_gt4p5_proxy,never_recertifies_le3p5,definition
A011,20260715T184758-8e6cf1f5,20260715T184758-8e6cf1f5:NO_CLOSE_EPOCH,20260715T190627-phase3e-r2training-slow,phase3e,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A012,20260715T185046-8e6cf1f5,20260715T185046-8e6cf1f5:NO_CLOSE_EPOCH,20260715T190627-phase3e-r2training-slow,phase3e,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A013,20260715T185843-7f28e2fb,20260715T185843-7f28e2fb:NO_CLOSE_EPOCH,20260715T190627-phase3e-r2training-slow,phase3e,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A014,20260715T195033-8edfeec4,20260715T195033-8edfeec4:NO_CLOSE_EPOCH,20260715T200734-phase3f-r2training-slow,phase3f,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A015,20260715T200011-8edfeec4,20260715T200011-8edfeec4:NO_CLOSE_EPOCH,20260715T200734-phase3f-r2training-slow,phase3f,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A016,20260715T200142-8edfeec4,20260715T200142-8edfeec4:NO_CLOSE_EPOCH,20260715T200734-phase3f-r2training-slow,phase3f,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A017,20260715T203300-8edfeec4,20260715T203300-8edfeec4:NO_CLOSE_EPOCH,20260715T211420-phase3g-r2training,phase3g,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A018,20260715T204925-8edfeec4,20260715T204925-8edfeec4:NO_CLOSE_EPOCH,20260715T211420-phase3g-r2training,phase3g,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A019,20260715T205124-8edfeec4,20260715T205124-8edfeec4:NO_CLOSE_EPOCH,20260715T211420-phase3g-r2training,phase3g,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A020,20260715T205845-fc86a160,20260715T205845-fc86a160:NO_CLOSE_EPOCH,20260715T211420-phase3g-r2training,phase3g,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A021,20260715T213138-8edfeec4,20260715T213138-8edfeec4:NO_CLOSE_EPOCH,20260716T023148-phase3h-r2training,phase3h,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A022,20260715T213225-8edfeec4,20260715T213225-8edfeec4:NO_CLOSE_EPOCH,20260716T023148-phase3h-r2training,phase3h,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A023,20260715T213406-fc86a160,20260715T213406-fc86a160:NO_CLOSE_EPOCH,20260716T023148-phase3h-r2training,phase3h,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A024,20260716T022502-8edfeec4,20260716T022502-8edfeec4:NO_CLOSE_EPOCH,20260716T023148-phase3h-r2training,phase3h,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A025,20260716T031114-8edfeec4,20260716T031114-8edfeec4:NO_CLOSE_EPOCH,20260716T115732-phase3i-r2training,phase3i,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A026,20260716T113216-8edfeec4,20260716T113216-8edfeec4:NO_CLOSE_EPOCH,20260716T115732-phase3i-r2training,phase3i,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A027,20260716T114244-8edfeec4,20260716T114244-8edfeec4:NO_CLOSE_EPOCH,20260716T115732-phase3i-r2training,phase3i,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A028,20260716T130659-8edfeec4,20260716T130659-8edfeec4:NO_CLOSE_EPOCH,20260716T132549-phase3j-r2training-rerun,phase3j,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A029,20260716T131137-2ca531c3,20260716T131137-2ca531c3:NO_CLOSE_EPOCH,20260716T132549-phase3j-r2training-rerun,phase3j,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A030,20260716T131630-8edfeec4,20260716T131630-8edfeec4:NO_CLOSE_EPOCH,20260716T132549-phase3j-r2training-rerun,phase3j,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A031,20260716T131802-8edfeec4,20260716T131802-8edfeec4:NO_CLOSE_EPOCH,20260716T132549-phase3j-r2training-rerun,phase3j,phase3,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A032,20260716T133531-927a4c97,20260716T133531-927a4c97:NO_CLOSE_EPOCH,20260716T135229-phase4a-r2training-chain,phase4a,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A033,20260716T134309-927a4c97,20260716T134309-927a4c97:NO_CLOSE_EPOCH,20260716T135229-phase4a-r2training-chain,phase4a,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A034,20260716T134842-927a4c97,20260716T134842-927a4c97:NO_CLOSE_EPOCH,20260716T135229-phase4a-r2training-chain,phase4a,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A035,20260716T143604-927a4c97,20260716T143604-927a4c97:NO_CLOSE_EPOCH,20260716T144305-phase4b-r2training-chain,phase4b,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A036,20260716T143739-927a4c97,20260716T143739-927a4c97:NO_CLOSE_EPOCH,20260716T144305-phase4b-r2training-chain,phase4b,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A037,20260716T143915-927a4c97,20260716T143915-927a4c97:NO_CLOSE_EPOCH,20260716T144305-phase4b-r2training-chain,phase4b,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A038,20260716T153120-927a4c97,20260716T153120-927a4c97:NO_CLOSE_EPOCH,20260716T154946-phase4b-r2training-chain-v2,phase4b,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A039,20260716T153853-927a4c97,20260716T153853-927a4c97:NO_CLOSE_EPOCH,20260716T154946-phase4b-r2training-chain-v2,phase4b,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A040,20260716T164931-927a4c97,20260716T164931-927a4c97:NO_CLOSE_EPOCH,20260716T174215-phase4c-r2training-chain,phase4c,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A041,20260716T165306-927a4c97,20260716T165306-927a4c97:NO_CLOSE_EPOCH,20260716T174215-phase4c-r2training-chain,phase4c,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A042,20260716T165535-927a4c97,20260716T165535-927a4c97:NO_CLOSE_EPOCH,20260716T174215-phase4c-r2training-chain,phase4c,phase4,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-structural,pre-terminal/current-side era; funnel not transported as cohort-4 prior,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A043,20260716T203450-2ca531c3,20260716T203450-2ca531c3:A1,20260716T212744-phase5-closerange-frames,phase5,phase5,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A044,20260716T212408-2ca531c3,20260716T212408-2ca531c3:NO_CLOSE_EPOCH,20260716T212744-phase5-closerange-frames,phase5,phase5,archive,NO_CLOSE_FEATURE_EPOCH_LE4P5,False,era-behavioral,historical behavior/guards partly cured; descriptive only,True,True,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A045,20260717T090941-debf3ec1,20260717T090941-debf3ec1:A1,20260717T092008-phase5b-confirm,phase5b,phase5,confirm,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A046,20260717T091107-debf3ec1,20260717T091107-debf3ec1:A1,20260717T092008-phase5b-confirm,phase5b,phase5,confirm,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A046,20260717T091107-debf3ec1,20260717T091107-debf3ec1:A2,20260717T092008-phase5b-confirm,phase5b,phase5,confirm,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A046,20260717T091107-debf3ec1,20260717T091107-debf3ec1:A3,20260717T092008-phase5b-confirm,phase5b,phase5,confirm,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A047,20260717T091239-debf3ec1,20260717T091239-debf3ec1:A1,20260717T092008-phase5b-confirm,phase5b,phase5,confirm,NO_LEGAL_FULL_RATE_ANCHOR,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A048,20260717T095722-a560c093,20260717T095722-a560c093:A1,20260717T100347-phase5c-ownership,phase5c,phase5,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A048,20260717T095722-a560c093,20260717T095722-a560c093:A2,20260717T100347-phase5c-ownership,phase5c,phase5,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A049,20260717T095851-a560c093,20260717T095851-a560c093:A1,20260717T100347-phase5c-ownership,phase5c,phase5,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A049,20260717T095851-a560c093,20260717T095851-a560c093:A2,20260717T100347-phase5c-ownership,phase5c,phase5,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A050,20260717T100017-a560c093,20260717T100017-a560c093:A1,20260717T100347-phase5c-ownership,phase5c,phase5,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A051,20260717T101837-7223cc0c,20260717T101837-7223cc0c:A1,20260717T102447-phase5d-vertical,phase5d,phase5,vertical,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A052,20260717T102007-7223cc0c,20260717T102007-7223cc0c:A1,20260717T102447-phase5d-vertical,phase5d,phase5,vertical,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A052,20260717T102007-7223cc0c,20260717T102007-7223cc0c:A2,20260717T102447-phase5d-vertical,phase5d,phase5,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A053,20260717T102132-7223cc0c,20260717T102132-7223cc0c:A1,20260717T102447-phase5d-vertical,phase5d,phase5,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A053,20260717T102132-7223cc0c,20260717T102132-7223cc0c:A2,20260717T102447-phase5d-vertical,phase5d,phase5,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A053,20260717T102132-7223cc0c,20260717T102132-7223cc0c:A3,20260717T102447-phase5d-vertical,phase5d,phase5,vertical,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A054,20260717T142306-7223cc0c,20260717T142306-7223cc0c:A1,20260717T143144-phase5e-shadow,phase5e,phase5,shadow,NO_LEGAL_SIDE_MAINTENANCE_INTERVAL,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A054,20260717T142306-7223cc0c,20260717T142306-7223cc0c:A2,20260717T143144-phase5e-shadow,phase5e,phase5,shadow,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A055,20260717T142426-7223cc0c,20260717T142426-7223cc0c:A1,20260717T143144-phase5e-shadow,phase5e,phase5,shadow,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A055,20260717T142426-7223cc0c,20260717T142426-7223cc0c:A2,20260717T143144-phase5e-shadow,phase5e,phase5,shadow,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A056,20260717T142546-7223cc0c,20260717T142546-7223cc0c:A1,20260717T143144-phase5e-shadow,phase5e,phase5,shadow,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A056,20260717T142546-7223cc0c,20260717T142546-7223cc0c:A2,20260717T143144-phase5e-shadow,phase5e,phase5,shadow,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A057,20260717T151002-a9753343,20260717T151002-a9753343:A1,20260717T152216-phase5f-terminal,phase5f,phase5,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A058,20260717T151126-a9753343,20260717T151126-a9753343:A1,20260717T152216-phase5f-terminal,phase5f,phase5,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A059,20260717T151254-e179e097,20260717T151254-e179e097:A1,20260717T152216-phase5f-terminal,phase5f,phase5,archive,NO_PARALLEL_SIDE_PRODUCTION,False,era-behavioral,historical behavior/guards partly cured; descriptive only,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A059,20260717T151254-e179e097,20260717T151254-e179e097:A2,20260717T152216-phase5f-terminal,phase5f,phase5,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A059,20260717T151254-e179e097,20260717T151254-e179e097:A3,20260717T152216-phase5f-terminal,phase5f,phase5,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A060,20260717T151717-e179e097,20260717T151717-e179e097:A1,20260717T152216-phase5f-terminal,phase5f,phase5,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A060,20260717T151717-e179e097,20260717T151717-e179e097:A2,20260717T152216-phase5f-terminal,phase5f,phase5,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A061,20260717T153048-927a4c97,20260717T153048-927a4c97:A1,20260717T154500-phase6a-control-old,phase6a,phase6,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A062,20260717T153307-927a4c97,20260717T153307-927a4c97:A1,20260717T154500-phase6a-control-old,phase6a,phase6,archive,NO_CERTIFIED_FULL_BELOW_3P5,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,True,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A062,20260717T153307-927a4c97,20260717T153307-927a4c97:A2,20260717T154500-phase6a-control-old,phase6a,phase6,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A063,20260717T153748-d946830d,20260717T153748-d946830d:A1,20260717T154501-phase6a-dash,phase6a,phase6,archive,OK,True,current-gate,legal approach under current predicate,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
A064,20260717T153903-d946830d,20260717T153903-d946830d:A1,20260717T154501-phase6a-dash,phase6a,phase6,archive,FULL_BELOW_3P5_NOT_EZ_USABLE,False,current-gate,current replay gate/funnel remains applicable to cohort availability accounting,False,False,False,RESPONSE42/44 frozen: FULL dies >4.5m AND never re-certifies <=3.5m; no threshold moved
